#Site name:       Remøy
#Abstract:        Tidevann justert med −5 minutter og høydefaktor på 0,98 og observert værbidrag fra Ålesund
#Provider:        Statens kartverk sjø (Norwegian Hydrographic Service)
#Latitude:        62.36363000
#Longitude:       5.65550000
#Datum:           EUREF89
#Time interval:   600 seconds
#Reference level: NN2000 (Normalnull 2000)
#Z0: 123.0 cm
#Start time:      2022-08-31T01:00:00+02:00
#End time:        2022-09-01T01:00:00+02:00
#Unit:            cm
#Series1:         Water level observations
#Series2:         Predicted tide (astronomical)
Time	Observations	Predicted
2022-08-31T01:00:00+02:00    44.5    68.7        
2022-08-31T01:10:00+02:00    47.1    71.0        
2022-08-31T01:20:00+02:00    48.8    72.7        
2022-08-31T01:30:00+02:00    49.9    73.8        
2022-08-31T01:40:00+02:00    50.6    74.4        
2022-08-31T01:50:00+02:00    50.9    74.5        
2022-08-31T02:00:00+02:00    50.7    74.0        
2022-08-31T02:10:00+02:00    49.8    73.1        
2022-08-31T02:20:00+02:00    48.1    71.7        
2022-08-31T02:30:00+02:00    45.8    69.9        
2022-08-31T02:40:00+02:00    43.2    67.6        
2022-08-31T02:50:00+02:00    40.3    65.0        
2022-08-31T03:00:00+02:00    37.2    61.9        
2022-08-31T03:10:00+02:00    33.8    58.5        
2022-08-31T03:20:00+02:00    30.0    54.6        
2022-08-31T03:30:00+02:00    25.8    50.3        
2022-08-31T03:40:00+02:00    21.1    45.7        
2022-08-31T03:50:00+02:00    16.1    40.6        
2022-08-31T04:00:00+02:00    10.9    35.1        
2022-08-31T04:10:00+02:00     5.3    29.2        
2022-08-31T04:20:00+02:00    -1.0    23.0        
2022-08-31T04:30:00+02:00    -8.1    16.4        
2022-08-31T04:40:00+02:00   -15.5     9.6        
2022-08-31T04:50:00+02:00   -23.0     2.5        
2022-08-31T05:00:00+02:00   -30.2    -4.8        
2022-08-31T05:10:00+02:00   -37.3   -12.2        
2022-08-31T05:20:00+02:00   -44.8   -19.6        
2022-08-31T05:30:00+02:00   -52.1   -27.0        
2022-08-31T05:40:00+02:00   -59.4   -34.2        
2022-08-31T05:50:00+02:00   -66.2   -41.3        
2022-08-31T06:00:00+02:00   -72.4   -48.0        
2022-08-31T06:10:00+02:00   -77.9   -54.5        
2022-08-31T06:20:00+02:00   -83.2   -60.5        
2022-08-31T06:30:00+02:00   -88.3   -66.0        
2022-08-31T06:40:00+02:00   -93.1   -71.0        
2022-08-31T06:50:00+02:00   -97.3   -75.5        
2022-08-31T07:00:00+02:00  -100.9   -79.5        
2022-08-31T07:10:00+02:00  -103.8   -82.9        
2022-08-31T07:20:00+02:00  -106.5   -85.7        
2022-08-31T07:30:00+02:00  -109.0   -88.0        
2022-08-31T07:40:00+02:00  -111.0   -89.7        
2022-08-31T07:50:00+02:00  -112.2   -91.0        
2022-08-31T08:00:00+02:00  -112.6   -91.8        
2022-08-31T08:10:00+02:00  -112.8   -92.0        
2022-08-31T08:20:00+02:00  -112.6   -91.9        
2022-08-31T08:30:00+02:00  -112.0   -91.3        
2022-08-31T08:40:00+02:00  -110.8   -90.3        
2022-08-31T08:50:00+02:00  -109.2   -88.9        
2022-08-31T09:00:00+02:00  -107.2   -87.0        
2022-08-31T09:10:00+02:00  -105.1   -84.8        
2022-08-31T09:20:00+02:00  -102.5   -82.1        
2022-08-31T09:30:00+02:00   -99.3   -78.9        
2022-08-31T09:40:00+02:00   -95.4   -75.4        
2022-08-31T09:50:00+02:00   -91.1   -71.4        
2022-08-31T10:00:00+02:00   -86.3   -66.9        
2022-08-31T10:10:00+02:00   -81.2   -62.0        
2022-08-31T10:20:00+02:00   -75.5   -56.6        
2022-08-31T10:30:00+02:00   -69.5   -50.8        
2022-08-31T10:40:00+02:00   -62.9   -44.7        
2022-08-31T10:50:00+02:00   -56.0   -38.2        
2022-08-31T11:00:00+02:00   -48.8   -31.4        
2022-08-31T11:10:00+02:00   -41.6   -24.3        
2022-08-31T11:20:00+02:00   -34.3   -17.1        
2022-08-31T11:30:00+02:00   -27.1    -9.9        
2022-08-31T11:40:00+02:00   -19.9    -2.6        
2022-08-31T11:50:00+02:00   -12.8     4.6        
2022-08-31T12:00:00+02:00    -6.1    11.6        
2022-08-31T12:10:00+02:00     0.2    18.3        
2022-08-31T12:20:00+02:00     6.1    24.7        
2022-08-31T12:30:00+02:00    11.9    30.8        
2022-08-31T12:40:00+02:00    17.5    36.3        
2022-08-31T12:50:00+02:00    22.5    41.4        
2022-08-31T13:00:00+02:00    26.7    45.9        
2022-08-31T13:10:00+02:00    30.4    49.8        
2022-08-31T13:20:00+02:00    33.5    53.2        
2022-08-31T13:30:00+02:00    36.1    55.9        
2022-08-31T13:40:00+02:00    37.9    58.1        
2022-08-31T13:50:00+02:00    39.0    59.7        
2022-08-31T14:00:00+02:00    39.7    60.8        
2022-08-31T14:10:00+02:00    39.9    61.4        
